access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr 
public,24 hours daily,,,2020-04-04,,ELEC,Public,85575,,,E,PARKING GARAGE,888-758-4389,2020-04-04T09:19:44Z,,200-9,41.031322,-73.774501,White Plains,"STATION 1; 1st floor section A3
STATION 2; 1st fl section A3",,NY,15 Bank St,10606,US,,,,,,,,,,,['J1772'],,,4,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:133485', '1:135777'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,85634,,,E,NATIONAL GRID,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.9522945,-78.8178585,Buffalo,DIEFENDORF HALL; In parking lot of Diefendorf Hall,,NY,Diefendorf Loop,14215,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:190417'], 'ports': ['1', '2']}"
public,24 hours daily,,,2019-04-08,,ELEC,Public,85682,2017-06-01,P,E,Romeo Chevrolet,845-943-4374  845-282-0790,2020-01-21T18:34:38Z,CAR_DEALER,200-9,41.980335,-73.990256,Lake Katrine,,,NY,1665 Ulster Ave,12449,US,,,,,,,,,,,"['J1772', 'J1772COMBO']",1,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,10am-5:30pm daily,CALL,,2020-03-03,,ELEC,Public - Call ahead,85949,2020-03-01,P,E,Catamount Ski,518-325-3200,2020-03-03T21:13:47Z,REC_SPORTS_FACILITY,200-8,42.171859,-73.477728,Hillsdale,,,NY,78 Catamount Rd,12529,US,,,,,,,,,,,"['J1772', 'NEMA1450', 'NEMA520']",,2,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,85969,2017-03-01,P,E,Koeppel Nissan,877-505-6334,2020-01-21T18:34:38Z,CAR_DEALER,200-9,40.755072,-73.892094,Jackson Heights,,,NY,74-15 Northern Blvd,11372,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,Dealership business hours,CALL,,2019-09-09,,ELEC,Public - Call ahead,85970,2017-03-01,P,E,Maguire Nissan,315-802-4432,2020-01-21T18:34:38Z,CAR_DEALER,200-8,43.053474,-76.163547,Syracuse,,,NY,716 W Genesee,13204,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,
public,24 hours daily,,,2020-04-04,,ELEC,Public,86019,,,E,TOWN OF RED HK,888-758-4389,2020-04-04T09:19:44Z,,200-9,41.986926,-73.880754,Red Hook,"RED HOOK 1; East parking lot
RED HOOK 2; East Parking Lot
REDHOOK 3; -
REDHOOK 4; -",,NY,7336 S Broadway,12571,US,,,,,,,,,,,['J1772'],,,8,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:195155', '1:1990711', '1:1990721', '1:205101'], 'ports': ['1', '2']}"
public,8am-10pm daily,,,2020-03-03,,ELEC,Public,86199,2017-07-01,P,E,Honest Weight Co-op,518-482-2667,2020-03-03T21:13:47Z,COOP,200-9,42.678984,-73.782529,Albany,,,NY,100 Watervliet Ave,12206,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-03-03,,ELEC,Public,86200,2017-07-01,LG,E,Marbletown Community Center,845-687-0800,2020-03-03T21:13:47Z,MUNI_GOV,200-8,41.852199,-74.139929,Stone Ridge,Located in the parking lot,,NY,3562 Main St,12484,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,86262,,,E,BMW OYSTER BAY,888-758-4389,2020-04-04T09:19:44Z,,GPS,40.8578576,-73.5345654,Oyster Bay,STATION 01,,NY,143-145 NY-106,11771,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:95263'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,86266,,,E,STATION 1,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.4313245,-73.7171708,Lake George,TOWN OF LG; Next to Lake George Town Court entrance,,NY,20 Old Post Rd,12845,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$2 per hour, minimum payment of $2, maximum payment of $48, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:205081'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,86267,,,E,VILLAGE STATION,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.424217,-73.7152375,Lake George,VILLAGE OF LG; Intersection of James and Ottawa,,NY,15-21 James St,12845,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$2 per hour, minimum payment of $2, maximum payment of $48, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:205001'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,86281,,,E,GOSHEN EVCS #1A,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.4019504,-74.32651,Goshen,STATION 1,,NY,128 W Main St,10924,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,$2 per hour,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:183575'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-03-03,,ELEC,Public,86715,2017-08-10,LG,E,City of Binghamton - Recreation Park,607-772-7017,2020-03-03T21:13:47Z,PARK,200-8,42.099763,-75.935148,Binghamton,,,NY,88 Beethoven St,13901,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,86915,,,E,MUNICIPAL LOT,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.8269997,-75.5424813,Hamilton,VOH LOT; In Village parking lot,,NY,20 Payne St,13346,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$0.1 per kWh, minimum payment of $0.5, maximum payment of $100",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:205061'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,86984,,,E,FAYETTEVILLE,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.0310044,-76.0124702,Fayetteville,FAYETTEVILLE; Village lot on Brooklea Drive,,NY,205 Brooklea Dr,13066,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:206223'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87380,,,E,CITYOFGLEN COVE,888-758-4389,2020-04-04T09:19:44Z,,GPS,40.8643206,-73.6312615,Glen Cove,"PULASKI ST GARG; Pulaski Street Parking Garage located behind City Hall, ground floor level, center of lot",,NY,9 Glen Street,11542,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:212113'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87398,,,E,24 STATE STREET,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.0912095,-77.5143981,Pittsford,PITTSFORD; Off State behind library. ,,NY,14 State St,14534,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:212247'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87413,,,E,VILLAGE HALL,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.2143953,-77.9362243,Brockport,STATION; In tear parking lot of Village Hall,,NY,49 State St,14420,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:208875'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87415,,,E,ROC,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.1296643,-77.6691578,Rochester,SMART PHONE LOT; Located in Smart Phone Lot,,NY,Airport Rd,14624,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:169329'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87458,,,E,EVCS1,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.8866358,-77.2792585,Canandaigua,CANANDAIGUA; Municipal parking lot. ,,NY,105 S Main St,14424,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,$0.12 per kWh,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:206433'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87608,,,E,PARK ST. GARAGE,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.307755,-73.644423,Glens Falls,"PARK STREET 1; Level 1, 2nd Floor
PARK STREET 2; Level 2, 3rd Floor
PARK STREET 3; Level 3, 4th Floor",,NY,50-54 Park St,12801,US,,,,,,,,,,,['J1772'],,,6,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:213539', '1:214041', '1:214043'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87682,,,E,NATIONAL GRID,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.2618,-78.6630773,Ellicottville,HOLIDAY VALLEY; Happy Valley Parking Lot in front of unit 116 and ice room ,,NY,6081 US-219,14731,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:511791'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-03-03,,ELEC,Public,87725,2017-09-13,LG,E,Prettejohn Public Parking Lot,585-346-2010,2020-03-03T21:13:47Z,PARKING_LOT,200-9,42.821105,-77.668406,Livonia,Located behind the Livonia Inn,,NY,17 Commercial St,14487,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,87810,,,E,STATE ROUTE 42,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.6688212,-74.6721468,Monticello,THOMPSON TOWN H; NE corner of the front parking lot at Thompson Town Hall,,NY,4052 NY-42 Town Hall,12701,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:213541'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-03-03,,ELEC,Public,87914,2016-10-01,SG,E,Long Island Welcome Center,631-254-0414,2020-03-03T21:13:47Z,REST_STOP,GPS,40.802658,-73.316725,Dix Hills,Between exits 51 and 52,,NY,I-495 E,11746,US,,,,,,,,,,,['CHADEMO'],2,,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,87951,,,E,BCC,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.3807469,-76.3933409,Brooktondale,BROOKTONDALE; Park and Ride lot,,NY,528 Valley Rd,14817,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,$0.15 per kWh,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:222272'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87953,,,E,PARKING GARAGE1,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.930293,-76.5671865,Auburn,PARKING GARAGE; First floor north,,NY,1 Lincoln St,13021,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:218191'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,87994,,,E,BARD ALMNCT,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.0113574,-73.9166624,Red Hook,MONTGOMERY; Montgomery Place Visitors Center,,NY,9 Gardener Way,12571,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1 per hour for the first 1 hour, and $3 per additional hour",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:222270'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88145,,,E,BETHEL,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.6859816,-74.8307887,Kauneonga Lake,BETHEL; Behind Town Court,,NY,3586 State Rte 55,12749,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:223898'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88146,,,E,ICE RINK,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.0907085,-73.9510187,Saugerties,ICE RINK; -,,NY,6 Small World Ave,12477,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215809'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88337,,,E,ULYSSES TOWN,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.5412505,-76.6614353,Trumansburg,ULYSSES; In rear parking lot,,NY,10 Elm St,14886,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:222276'], 'ports': ['1', '2']}"
public,Dawn to dusk daily,,,2020-03-03,,ELEC,Public,88340,2017-10-01,LG,E,Lakeland Park,315-655-3041,2020-03-03T21:13:47Z,PARK,200-8,42.929429,-75.859296,Cazenovia,,,NY,11 Foreman St,13035,US,,,,,,,,,,,['J1772'],,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,88351,,,E,MUNI PARKIN LOT,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.7951956,-77.8160845,Geneseo,VILLAGE GENESEO; Municipal Lot,,NY,5 Chestnut St,14454,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:206217'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88397,,,E,SCHENECTADY,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.799875,-73.9085536,Schenectady,CENTRAL PARK; In front of the tennis court,,NY,PTL Arthur Chaires Ln,12309,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215577'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88398,,,E,SCHENECTADY,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.8040761,-73.9043358,Schenectady,UPPER UNION LOT; Upper Union Street Parking Lot - In the back parking lot off Woodlawn or Dean,,NY,912 Woodlawn Dr,12309,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215487'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88399,,,E,SCHENECTADY,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.8130771,-73.9458357,Schenectady,ERIE BLVD; Street parking on Erie Boulevard between State Street and I-890,,NY,154 Erie Blvd,12305,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215471'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88437,,,E,HOTEL,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.6547355,-73.870968,Poughkeepsie,INN AT THE FALL; In rear lot ,,NY,50 Red Oaks Mill Rd,12603,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time. $1.5 per hour for the first 4 hours, and $1 per additional hour",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:223658'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88492,,,E,LIBRARY 1,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.0274712,-74.9889373,Herkimer,HERKIMER; Rear parking lot of library ,,NY,245 N Main St,13350,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:226296'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88493,,,E,CAYUGA STATION,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.4373586,-76.4987443,Ithaca,ALL PRO GARAGE; 3rd floor by elavators ,,NY,235 S Cayuga St,14850,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:226048'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88494,,,E,STATION 1,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.2039956,-74.1965292,Hunter,SCRIBNERS; Behind lodge ,,NY,13 Scribner Hollow Rd,12442,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:222228'], 'ports': ['1', '2']}"
public,10am-10pm daily; for guest use only,,,2020-03-03,,ELEC,Public,88498,2017-11-15,P,E,North Creek Heads in Beds,518-412-2821,2020-03-03T21:13:47Z,HOTEL,200-9,43.69475,-73.985344,North Creek,,,NY,191 Main St,12853,US,,,,,,,,,,,"['J1772', 'NEMA520']",,1,1,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,
public,24 hours daily,,,2020-04-04,,ELEC,Public,88538,,,E,BEDFORD_EV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.2591794,-73.6826563,Katonah,JAY ST LOT; Katonah Metro North Train Station - Jay St. Lot,,NY,2-42 Jay St Jay Street Lot,10536,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215857'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88539,,,E,BEDFORDEV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.2373612,-73.7001054,Bedford Hills,METRO NORTH RR1; Bedford Hills Metro North Train Station ,,NY,11 Railroad Ave,10507,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215827'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88540,,,E,BEDFORDEV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.2398198,-73.6990734,Bedford Hills,TOWN HALL; Bedford Town Hall - side parking lot,,NY,321 Bedford Rd.,10507,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215811'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88541,,,E,BEDFORDEV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.2341135,-73.7066215,Bedford Hills,MEMORIAL PARK 2; Bedford Hills Memorial Park (near Soccer Field),,NY,60 Haines Rd.,10507,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215767'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88542,,,E,BEDFORD_EV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.2598094,-73.6838308,Katonah,KATONAH LOT 1; Kotanah Train Metro North - Parking Lot 1,,NY,70 Katonah Ave.  Lot 1,10536,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215751'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88543,,,E,BEDFORDEV,888-758-4389,2020-04-04T09:19:44Z,,GPS,41.1970582,-73.644729,Bedford,MEMORIAL PARK 1; Bedford Village Memorial Park (near exit),,NY,65 Greenwich Rd,10506,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1.5 per hour, maximum payment of $36, maximum session time is 24 hours",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:215747'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88547,,,E,MASSENA_EV,888-758-4389,2020-04-04T09:19:44Z,,GPS,44.9317568,-74.8939836,Massena,MUNI PARKING; Andrews St Municipal Parking Lot,,NY,21-25 Andrews St,13662,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,"$1 per hour, minimum payment of $2",,,,,,,,,,,,,,,,Public,,"{'posts': ['1:113519'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88553,,,E,TOWNHALLSTATION,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.1795569,-73.5265684,Hillsdale,HILLSDALE; Town Hall Parking lot,,NY,2609 NY-23,12529,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:227208'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88565,,,E,I-SQUARE,888-758-4389,2020-04-04T09:19:44Z,,200-9,43.209867,-77.59788,Rochester,"NORTH IMAGINE; Stations are in rear parking lot
SOUTH IMAGINE; Stations are in rear parking lot",,NY,11 Stranahan Park,14617,US,,,,,,,,,,,['J1772'],,,4,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:192747', '1:195257'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88646,,,E,DMV PARKING LOT,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.006616,-74.3754234,Johnstown,JOHNSTOWN; Back left of lot,,NY,227 W Main St,12095,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,$0.15 per kWh,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:264821'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88700,,,E,5TH AVE,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.7305221,-73.6880595,Troy,5TH AVE TROY; Lower level 5th Avenue side,,NY,1713 5th Ave,12180,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:251771'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88701,,,E,STATION 1 @ VIL,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.9817554,-77.4083598,Victor,VICTOR; In lot next to church,,NY,70 E Main St,14564,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:226102'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88710,,,E,VILLAGE HALL,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.2156963,-77.9371925,Brockport,WELCOME CENTER; Near front entrance ,,NY,12-40 Water St,14420,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:226064'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88728,,,E,UTICA CITY HALL,888-758-4389,2020-04-04T09:19:44Z,,GPS,43.1015541,-75.2355439,Utica,CITY OF UTICA; Off Broadway lot left of clock tower,,NY,1 Kennedy Plaza,13502,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:227200'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88729,,,E,TOWN OF AURORA,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.7649349,-78.6133153,East Aurora,AURORA; Side parking lot,,NY,113 King St,14052,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:227172'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88730,,,E,ITHACA VISITORS,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.420935,-76.5000839,Ithaca,ITHACA COLLEGE; Visitors Lot,,NY,Conservatory Dr,14850,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:226426'], 'ports': ['1', '2']}"
public,24 hours daily,,,2020-04-04,,ELEC,Public,88732,,,E,BRIDGE STREET,888-758-4389,2020-04-04T09:19:44Z,,GPS,42.9343726,-74.1972709,Amsterdam,AMSTERDAM; West side of Bridge Street lot,,NY,63 Bridge St,12010,US,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,Free,,,,,,,,,,,,,,,,Public,,"{'posts': ['1:209221'], 'ports': ['1', '2']}"
